Age,Gender,Height_cm,Tall_or_Not
50,Female,156,Not Tall
17,Female,148,Not Tall
11,Female,155,Not Tall
57,Male,185,Tall
27,Female,174,Tall
25,Male,166,Not Tall
24,Female,177,Tall
18,Male,177,Tall
57,Female,177,Tall
16,Female,165,Tall
53,Male,173,Not Tall
57,Male,164,Not Tall
44,Male,158,Not Tall
15,Male,182,Tall
47,Female,171,Tall
37,Male,155,Not Tall
12,Male,153,Not Tall
11,Male,157,Not Tall
15,Female,149,Not Tall
23,Female,180,Tall
24,Female,150,Not Tall
42,Female,183,Tall
48,Male,177,Tall
11,Female,178,Tall
45,Female,144,Not Tall
22,Male,174,Not Tall
55,Female,164,Not Tall
51,Male,188,Tall
54,Male,179,Tall
44,Male,183,Tall
36,Male,166,Not Tall
24,Female,175,Tall
38,Female,140,Not Tall
47,Female,183,Tall
27,Male,157,Not Tall
10,Female,183,Tall
58,Male,184,Tall
20,Male,167,Not Tall
54,Male,191,Tall
37,Female,161,Not Tall
31,Female,147,Not Tall
27,Female,158,Not Tall
19,Male,177,Tall
23,Male,160,Not Tall
58,Female,169,Tall
31,Male,150,Not Tall
16,Female,156,Not Tall
15,Female,172,Tall
34,Female,151,Not Tall
16,Male,182,Tall
